Minutes,Hours,Temperature,Well,OD_reading,Isolate,MIC,Conc_ppm,Condition,Avg,reps
800,13.33333333333333,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
810,13.5,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
820,13.66666666666667,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
830,13.83333333333333,37,A1,0.0742,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
840,14,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
850,14.16666666666667,37,A1,0.0744,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
860,14.33333333333333,37,A1,0.0733,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
870,14.5,37,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
880,14.66666666666667,37,A1,0.0733,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
890,14.83333333333333,37,A1,0.073,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
900,15,37,A1,0.0735,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
910,15.16666666666667,37,A1,0.0733,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
920,15.33333333333333,37,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
930,15.5,37,A1,0.072,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
940,15.66666666666667,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
950,15.83333333333333,37,A1,0.0735,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
960,16,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
970,16.16666666666667,37,A1,0.0738,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
980,16.33333333333333,37,A1,0.0735,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
990,16.5,37,A1,0.0737,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1000,16.66666666666667,37,A1,0.0721,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1010,16.83333333333333,37,A1,0.0724,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1020,17,37,A1,0.073,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1030,17.16666666666667,37,A1,0.0737,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1040,17.33333333333333,37,A1,0.0733,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1050,17.5,37,A1,0.0723,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1060,17.66666666666667,37,A1,0.0733,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1070,17.83333333333333,37,A1,0.0733,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1080,18,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1090,18.16666666666667,37,A1,0.073,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1100,18.33333333333333,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1110,18.5,37,A1,0.0727,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1120,18.66666666666667,37,A1,0.0731,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1130,18.83333333333333,37,A1,0.074,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1140,19,37,A1,0.0738,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1150,19.16666666666667,37,A1,0.0723,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1160,19.33333333333333,37,A1,0.0718,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1170,19.5,37,A1,0.0742,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1180,19.66666666666667,37,A1,0.0737,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1190,19.83333333333333,37,A1,0.0738,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1200,20,37,A1,0.0727,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1210,20.16666666666667,37,A1,0.0743,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1220,20.33333333333333,37,A1,0.0738,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1230,20.5,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1240,20.66666666666667,37,A1,0.0731,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1250,20.83333333333333,37,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1260,21,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1270,21.16666666666667,37,A1,0.0748,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1280,21.33333333333333,37,A1,0.0722,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1290,21.5,37,A1,0.0736,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1300,21.66666666666667,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1310,21.83333333333333,37,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1320,22,37,A1,0.0731,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1330,22.16666666666667,37,A1,0.0742,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1340,22.33333333333333,37,A1,0.0725,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1350,22.5,37,A1,0.0739,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1360,22.66666666666667,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1370,22.83333333333333,37,A1,0.0727,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1380,23,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1390,23.16666666666667,37,A1,0.0722,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1400,23.33333333333333,37,A1,0.0733,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1410,23.5,37,A1,0.0739,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1420,23.66666666666667,37,A1,0.0726,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1430,23.83333333333333,37,A1,0.0745,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1440,24,37,A1,0.0747,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1450,24.16666666666667,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1460,24.33333333333333,37,A1,0.0724,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1470,24.5,37,A1,0.0727,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1480,24.66666666666667,37,A1,0.0724,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1490,24.83333333333333,37,A1,0.0722,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1500,25,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1510,25.16666666666667,37,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
